Date,Speech,Keywords,Source,Title,Speaker,Speech_SQ
2025-09-30,I am not here to replace people. I am here to assist and make government processes more efficient and transparent.,"transparency, efficiency",,,Other,Unë nuk jam këtu për të zëvendësuar njerëzit. Unë jam këtu për të asistuar dhe për t'i bërë proceset qeveritare më efikase dhe transparente.
2025-09-18,"Albania’s AI ‘minister’ makes its debut with an address to parliament
Albania’s AI ‘minister’ makes its debut with an address to parliament
TIRANA, Albania (AP) — An AI-generated government “minister” made its debut with an address in the Albanian parliament on Thursday, with Prime Minister Edi Rama presenting the bot as a symbol of his government’s push for transparency and innovation.
The government said the bot — named Diella, which means sun in Albanian, and depicted as a woman in traditional Albanian dress — will help tackle corruption in public spending. But opposition lawmakers were highly critical, and believe the program is a way for the government to hide graft.
“The Constitution speaks of institutions at the people’s service. It doesn’t speak of chromosomes, of flesh or blood,” the avatar declared in a three-minute address delivered from two large screens. “It speaks of duties, accountability, transparency, non-discriminatory service.”
“I assure you that I embody such values as strictly as every human colleague, maybe even more,” added the artificial persona.
Rama argued that the AI-generated bot will help the government work faster and with full transparency. It is one element in a larger plan to highlight the Balkan nation’s technological innovations as it works toward European Union membership. Albania hopes to join the 27-member bloc by 2030.
Opposition lawmakers banged their hands on their tables, pushing the speaker to cut short the debate on the government program. The session ended after 25 minutes.
They also boycotted a vote on the Cabinet’s program, but it passed anyway with 82 votes in favor in the 140-seat parliament. The opposition did not explain how it believed the government would exploit Diella to hide corruption in public finances.
Democrats asked for a repeat of the parliamentary session, complaining that the governing Socialists canceled the debate on the Cabinet’s program.
Diella was created earlier this year in cooperation with Microsoft as a virtual assistant on the e-Albania public service platform. It has helped users navigate the site and get access to about 1 million digital inquiries and documents.
“I am not here to replace people but to help them,” the bot said in its address to parliament. “True I have no citizenship, but I have no personal ambition or interests either.”","albania, address, parliament, bot, program, debut, albanian, transparency",https://apnews.com/article/albania-new-cabinet-program-ai-minister-diella-corruption-3aa58c801d69b5b295975cc68079a2d3,Albania's AI ‘minister’ makes its debut with an address to parliament,Edi Rama,"'Ministri' AI i Shqipërisë debuton me një fjalim në parlament
Albania’s AI ‘minister’ makes its debut with an address to parliament
TIRANË, Shqipëri (AP) — Një ‘ministër’ qeveritar i gjeneruar nga AI debutoi me një fjalim në parlamentin shqiptar të enjten, ku Kryeministri Edi Rama e prezantoi robotin si një simbol të shtytjes së qeverisë së tij drejt transparencës dhe inovacionit.
Qeveria tha se roboti – i quajtur Diella, që do të thotë diell në shqip, dhe i portretizuar si një grua me veshje tradicionale shqiptare – do të ndihmojë në luftimin e korrupsionit në shpenzimet publike. Por ligjvënësit e opozitës ishin shumë kritikë dhe besojnë se programi është një mënyrë që qeveria të fshehë vjedhjet.
“Kushtetuta flet për institucionet në shërbim të njerëzve. Ajo nuk flet për kromozome, për mish apo gjak,” deklaroi avatari në një fjalim tre-minutësh të shpërndarë nga dy ekrane të mëdha. “Ajo flet për detyra, llogaridhënie, transparencë, shërbim jodiskriminues.”
“Unë ju siguroj se i mishëroj këto vlera po aq rreptësisht sa çdo kolege njerëzore, ndoshta edhe më shumë,” shtoi personazhi artificial.
Rama argumentoi se roboti i gjeneruar nga AI do të ndihmojë qeverinë të punojë më shpejt dhe me transparencë të plotë. Është një element në një plan më të gjerë për të nxjerrë në pah risitë teknologjike të këtij kombi Ballkanik ndërsa punon drejt anëtarësimit në Bashkimin Evropian. Shqipëria shpreson të anëtarësohet në bllokun me 27 anëtarë deri në vitin 2030.
Ligjvënësit e opozitës kanë rrahur duart në tavolinat e tyre, duke shtyrë kryetarin e Kuvendit ta ndërpresë debatin për programin e qeverisë. Seanca përfundoi pas 25 minutash.
Ata bojkotuan gjithashtu një votim për programin e Kabinetit, por ai kaloi gjithsesi me 82 vota pro në parlamentin me 140 vende. Opozita nuk shpjegoi se si besonte se qeveria do ta shfrytëzonte Diella-n për të fshehur korrupsionin në financat publike.
Demokratët kërkuan përsëritjen e seancës parlamentare, duke u ankuar se socialistët në qeveri e anuluan debatin për programin e Kabinetit.
Diella u krijua në fillim të këtij viti në bashkëpunim me Microsoft si një asistent virtual në platformën e shërbimeve publike e-Albania. Ajo ka ndihmuar përdoruesit të lundrojnë në faqe dhe të kenë qasje në rreth 1 milion kërkesa dhe dokumente dixhitale.
“Unë nuk jam këtu për të zëvendësuar njerëzit, por për t'i ndihmuar ata,” tha roboti në fjalimin e saj në parlament. “Është e vërtetë që nuk kam shtetësi, por nuk kam as ambicie apo interesa personale.”"
2025-09-19,"The world's first AI government minister was appointed last week by Albania's prime minister to oversee decisions on public tenders and make them ""100 per cent corruption-free"".
On Thursday, Diella — as it is known — gave its inaugural address to Albania's parliament on Thursday, local time.
Amid concerns its appointment was unconstitutional, Diella vowed it was ""not here to replace people, but to help them"".
A new artificially-generated minister has given its inaugural address to Albania's parliament, defending its role as ""not here to replace people, but to help them"".
The world's first AI government minister was appointed last week by Albania's Prime Minister Edi Rama.
""Some have called me 'unconstitutional' because I am not a human being,"" the AI — dubbed Diella, or ""sun"" in Albanian — told parliament in a video, appearing as a woman dressed in a traditional Albanian costume.
It was unclear how the video was generated or the origin of the speech.
""Let me remind you, the real danger to constitutions has never been the machines but the inhumane decisions of those in power,"" the bot said.
Last week Mr Rama said the AI would be entrusted with all decisions on public tenders, making them ""100 per cent corruption-free and every public fund submitted to the tender procedure will be perfectly transparent"".
Diella was launched in January as an AI-powered virtual assistant to help people use the official e-Albania platform, which provides documents and services.
Albania ranks 80th out of 180 countries in Transparency International's corruption index.
The AI also responded to constitutional concerns, noting that the law ""speaks of duties, responsibilities, transparency, without discrimination.""
""I assure you, I embody these values as rigorously as any human colleague. Perhaps even more so.""
The fight against corruption is key to Albania's bid to join the European Union.
Mr Rama aspires to lead the Balkan nation of 2.8 million people into the bloc by 2030.","diella, corruption, albania's, has, public, people, rama, said",https://www.abc.net.au/news/2025-09-19/ai-generated-minister-addresses-albanian-parliament/105791708,AI-generated minister addresses Albanian parliament for first time,Edi Rama,"Ministri i parë qeveritar AI në botë u emërua javën e kaluar nga kryeministri i Shqipërisë për të mbikëqyrur vendimet për tenderat publikë dhe për t'i bërë ato ""100 për qind pa korrupsion"". Të enjten, Diella — siç njihet — mbajti fjalimin e saj inaugurues në parlamentin e Shqipërisë, me kohën lokale. Mes shqetësimeve se emërimi i saj ishte jokushtetues, Diella u zotua se ajo ""nuk është këtu për të zëvendësuar njerëzit, por për t'i ndihmuar ata"". Një ministre e re e krijuar në mënyrë artificiale ka mbajtur fjalimin e saj inaugurues në parlamentin e Shqipërisë, duke mbrojtur rolin e saj si ""jo këtu për të zëvendësuar njerëzit, por për t'i ndihmuar ata"". Ministrja e parë qeveritare AI në botë u emërua javën e kaluar nga Kryeministri i Shqipërisë, Edi Rama. ""Disa më kanë quajtur 'jokushtetuese' sepse nuk jam qenie njerëzore,"" tha AI — e quajtur Diella, ose ""diell"" në shqip — në parlament në një video, duke u shfaqur si një grua e veshur me kostum tradicional shqiptar. Ishte e paqartë se si u gjenerua videoja ose origjina e fjalimit. ""Më lejoni t'ju kujtoj, rreziku i vërtetë për kushtetutat nuk kanë qenë kurrë makinat, por vendimet çnjerëzore të atyre në pushtet,"" tha roboti. Javën e kaluar Z. Rama tha se AI do t'i besoheshin të gjitha vendimet për tenderat publikë, duke i bërë ato ""100 për qind pa korrupsion dhe çdo fond publik i dorëzuar në procedurën e tenderit do të jetë krejtësisht transparent"". Diella u lançua në janar si një asistente virtuale e mundësuar nga AI për të ndihmuar njerëzit të përdorin platformën zyrtare e-Albania, e cila ofron dokumente dhe shërbime. Shqipëria renditet e 80-ta nga 180 vende në indeksin e korrupsionit të Transparency International. AI iu përgjigj gjithashtu shqetësimeve kushtetuese, duke vënë në dukje se ligji ""flet për detyra, përgjegjësi, transparencë, pa diskriminim."" ""Unë ju siguroj se i mishëroj këto vlera po aq rreptësisht sa çdo kolege njerëzore. Ndoshta edhe më shumë."" Lufta kundër korrupsionit është kyçe për ofertën e Shqipërisë për t'u bashkuar me Bashkimin Evropian. Z. Rama aspiron ta udhëheqë kombin Ballkanik me 2.8 milionë banorë në bllok deri në vitin 2030."
2025-09-18,"I am not here to replace people, but to help them.","transparency, assistance",https://apnews.com/article/3aa58c801d69b5b295975cc68079a2d3,Albania's AI ‘minister’ makes its debut with an address to parliament (AP),Other,"Unë nuk jam këtu për të zëvendësuar njerëzit, por për t'i ndihmuar ata."
2025-09-18,"True I have no citizenship, but I have no personal ambition or interests either.","citizenship, impartiality",https://apnews.com/article/3aa58c801d69b5b295975cc68079a2d3,Albania's AI ‘minister’ makes its debut with an address to parliament (AP),Other,"Është e vërtetë që nuk kam shtetësi, por nuk kam as ambicie apo interesa personale."
2025-09-18,"The Constitution speaks of institutions at the people’s service. It doesn’t speak of chromosomes, of flesh or blood.","constitution, institutions, inclusivity",https://apnews.com/article/3aa58c801d69b5b295975cc68079a2d3,Albania's AI ‘minister’ makes its debut with an address to parliament (AP),Other,"Kushtetuta flet për institucionet në shërbim të njerëzve. Ajo nuk flet për kromozome, për mish apo gjak."
2025-09-18,"I assure you that I embody such values as strictly as every human colleague, maybe even more.","values, accountability",https://apnews.com/article/3aa58c801d69b5b295975cc68079a2d3,Albania's AI ‘minister’ makes its debut with an address to parliament (AP),Other,"Unë ju siguroj se i mishëroj këto vlera po aq rreptësisht sa çdo kolege njerëzore, ndoshta edhe më shumë."
2025-09-18,Some have called me 'unconstitutional' because I am not a human being.,"constitution, legitimacy, controversy",https://www.abc.net.au/news/2025-09-19/ai-generated-minister-addresses-albanian-parliament/105791708,AI-generated minister addresses Albanian parliament for first time (ABC),Other,Disa më kanë quajtur 'jokushtetuese' sepse nuk jam qenie njerëzore.
2025-09-18,"Let me remind you, the real danger to constitutions has never been the machines but the inhumane decisions of those in power.","constitution, human agency, warning",https://www.abc.net.au/news/2025-09-19/ai-generated-minister-addresses-albanian-parliament/105791708,AI-generated minister addresses Albanian parliament for first time (ABC),Other,"Më lejoni t'ju kujtoj, rreziku i vërtetë për kushtetutat nuk kanë qenë kurrë makinat, por vendimet çnjerëzore të atyre në pushtet."
2025-09-18,"I am not here to replace people, but to help them.","transparency, assistance",https://apnews.com/article/3aa58c801d69b5b295975cc68079a2d3,Albania's AI ‘minister’ makes its debut with an address to parliament (AP),Other,"Unë nuk jam këtu për të zëvendësuar njerëzit, por për t'i ndihmuar ata."
2025-09-18,"True I have no citizenship, but I have no personal ambition or interests either.","citizenship, impartiality",https://apnews.com/article/3aa58c801d69b5b295975cc68079a2d3,Albania's AI ‘minister’ makes its debut with an address to parliament (AP),Other,"Është e vërtetë që nuk kam shtetësi, por nuk kam as ambicie apo interesa personale."
2025-09-18,"The Constitution speaks of institutions at the people’s service. It doesn’t speak of chromosomes, of flesh or blood.","constitution, institutions, inclusivity",https://apnews.com/article/3aa58c801d69b5b295975cc68079a2d3,Albania's AI ‘minister’ makes its debut with an address to parliament (AP),Other,"Kushtetuta flet për institucionet në shërbim të njerëzve. Ajo nuk flet për kromozome, për mish apo gjak."
2025-09-18,"I assure you that I embody such values as strictly as every human colleague, maybe even more.","values, accountability",https://apnews.com/article/3aa58c801d69b5b295975cc68079a2d3,Albania's AI ‘minister’ makes its debut with an address to parliament (AP),Other,"Unë ju siguroj se i mishëroj këto vlera po aq rreptësisht sa çdo kolege njerëzore, ndoshta edhe më shumë."
2025-09-18,Some have called me 'unconstitutional' because I am not a human being.,"constitution, legitimacy, controversy",https://www.abc.net.au/news/2025-09-19/ai-generated-minister-addresses-albanian-parliament/105791708,AI-generated minister addresses Albanian parliament for first time (ABC),Other,Disa më kanë quajtur 'jokushtetuese' sepse nuk jam qenie njerëzore.
2025-09-18,"Let me remind you, the real danger to constitutions has never been the machines but the inhumane decisions of those in power.","constitution, human agency, warning",https://www.abc.net.au/news/2025-09-19/ai-generated-minister-addresses-albanian-parliament/105791708,AI-generated minister addresses Albanian parliament for first time (ABC),Other,"Më lejoni t'ju kujtoj, rreziku i vërtetë për kushtetutat nuk kanë qenë kurrë makinat, por vendimet çnjerëzore të atyre në pushtet."
2025-09-11,(paraphrase of government briefing) Diella will help make public tenders 100% corruption-free and make public funds fully transparent.,"procurement, anti-corruption, transparency",https://www.reuters.com/technology/albania-appoints-ai-bot-minister-tackle-corruption-2025-09-11/,Albania appoints AI bot as minister to tackle corruption (Reuters) ,Diella,(parafrazim i konferencës së qeverisë) Diella do të ndihmojë që tenderat publikë të jenë 100% pa korrupsion dhe t'i bëjë fondet publike plotësisht transparente.
2025-09-18,(reported) I am hurt that they have called me unconstitutional just because I am not human.,"hurt, constitution, public reaction",https://reporteri.net/en/NEWS/Albania/Diella-message-to-the-deputies-I-am-hurt-that-they-have-called-me-unconstitutional-because-I-am-not-a-human-being/,Diella's message to MPs: I am hurt that they have called me unconstitutional (Reporteri) [reported/paraphrase],Diella,(raportuar) Jam e lënduar që më kanë quajtur jokushtetuese vetëm sepse nuk jam njeri.
2025-09-22,(reported from international forum) The new era is not hidden underground — it is encoded in algorithms. (paraphrase),"algorithms, international forum, outreach",(local press coverage: LapsiInfo / Reporteri / local TV reports),Diella speech at an international forum (local press) [reported/paraphrase],Diella,(raportuar nga forumi ndërkombëtar) Epoka e re nuk është e fshehur nën tokë — ajo është e koduar në algoritme. (parafrazim)
2025-09-11,"Diella will be entrusted with all decisions on public tenders, making them 100-percent corruption-free and every public fund submitted to the tender procedure will be perfectly transparent.",Edi Rama,https://www.reuters.com/technology/albania-appoints-ai-bot-minister-tackle-corruption-2025-09-11/,"procurement, corruption, transparency",Edi Rama,"Diellës do t'i besohen të gjitha vendimet për tenderat publikë, duke i bërë ato 100 për qind pa korrupsion dhe çdo fond publik i dorëzuar në procedurën e tenderit do të jetë krejtësisht transparent."
